1,신의 탑,4|7|22|24|35
2,뷰티풀 군바리,13|22|24|25|40
3,윈드브레이커,3|7|22|24|30|33|39|42
4,소녀의 세계,2|5|9|16|33|42
5,대학일기,5|12|15|17|19|22|29
6,평범한 8반,2|15|23|24|26|30|33|42
7,내 여자친구는 상남자,5|12|15|22|30|35|47|50
8,여신강림,5|13|16|29|42
9,유미의 세포들,5|17|22|24|29|30|47 
10,연애혁명,5|12|22|29|33|42
11,외모지상주의,7|12|13|16|42
12,조의 영역,4|6|13|20|34|
13,노블레스,7|20|22|28|35|46
14,복학왕,5|12|13|15|29
15,신과함께,3|17|22|25|35|47
16,갓 오브 하이스쿨,7|22|32|33|35
17,프로드로우,5|15|24|33|42
18,타인은 지옥이다,4|6|13|32|34
19,윈드브레이커,7|24|31|33|42
20,하이브3,6|7|13|20|21|22|34|36
21,고수,7|11|22|41|46|47
22,기기괴괴,6|15|22|32|34
23,스위트홈,4|6|20|25|34
24,호랑이형님,7|8|14|35|41
25,스프릿핑거스,2|3|9|17|42|47
26,마음의 소리,5|12|15|22|29|47
27,연놈,5|16|30|42|44
28,테러맨,4|7|11|19|22|24|29|32|33
29,세상은 돈과 권력,11|21|22|40|42
30,비질란테,4|7|11|20|32
31,다이스,6|7|35|42|45
32,더게이머,7|26|29|31|35|39|42
33,랜더채팅의그녀!,2|30|33|42
34,원주민 공포만화,12|13
35,죽음에 관하여,3|17|20|22|47
36,하드캐리,2|7|22|24|33|39|42
37,공복의 저녁식사,1|2|5|33|42
38,약한영웅,7|42
39,나노리스트,3|4|7|22|24|36
40,신암행어사,3|4|7|24|35
41,쿠베라,7|11|20|36|47
42,개를 낳았다,3|8|17|24|29
43,왕의 딸로 태어났다고 합니다,12|13|26|44|
44,나는 이 집 아이,16
45,그녀가 공작저로 가야 했던 사정,5
46,마검왕,7|35
47,남자친구를 조심해,6|30|35
48,우리집 우렁이는,30|44
49,고양이 아가씨와 경호원들,4|5|8
50,썸툰,2|5|17|29|30
51,미숙한 표현,2|9|23|42|44|46|50
52,우리 남매의 일상은,5|12|15|22|29
53,이토록 보통의,4|17|29|37|38|47
54,과격자매단,5|12|17|22|29
55,취향저격 그녀,9|23|24|44
56,소녀신선,22|24|30|35|41
57,껍데기,40
58,아쿠아맨,2|33|44|50
59,창백한말,14|20|31|35|47
60,N번째 연애,30|33
70,에스키스,2|22|30|31|42
71,주간소년연애사,2|22|30|31|42
72,트레이스,7|22|33|35
73,발자국이 녹기전에,10|30|41|44
74,우리학교 김선생님, 17|22|42
75,은밀하게 위대하게, 3|7|20|37|47
76,어쩌다가 발견한 7월, 9|10|35|44|47
77,쌍갑포차,6|20
78,헬로브리,2|8|9|10|14|22|24|28|29|30|35
79,미래의 너에게,30|35|44
80,옥탑빵,1|3
81,구리의 구리구리 컴백,15|22|29
82,작약만가:불환곡,11|31|30|41
83,우리가 사랑하는 방법,23|29
84,노인의 집,6|20|31
85,징크스의 연인,2|24|29|30|31
86,바리공주,3|21|29|30|35|41|44
87,무능력자,2|17|30|31|35|44
88,껍데기,4|10|11|30|31 
89,레바툰,15|29
90,여자친구,12|15|33|43|44
91,너의 돈이 보여,5|22|30|31|35
92,바나나툰,15|29
93,우리사이느은,2|9|22|23|30|31|33|47
94,모기전쟁,4|7|11|20|22|24|25|32|36
95,표준규격전사,5|7|12|15|22|35
96,드래곤시터,2|14|22|30|35
97,도리도심,5|30
98,말할수 없는 남매,22|42
99,연필의 각도,2|5|30
100,먹는 존재,4|15|17|22|26|31|40|47
101,그끝에 있는 것,16|30|42|50
102,장인의 나라,6|20|31|35
103,단지,3|4|17|29|45|47
104,구원하소서,11|13|19|20
105,박배우 X 김남팬,2|44|50
106,김철수씨 이야기,4|20
107,아람이랑 삽니다!,22
108,그 남자의 하이힐, 5|12|31
109,4컷용사,7|12|15|22|35
110,밍기뉴,25|30|31|35
111,비밀스러운 짝사랑,2|16|42|44
112,소라의 눈,4|20|50
113,너의 HEART를 나에게 줄래?,2|42|44
